ItemList,DocumentNumber,SumberFile
"TA-0801,TA-0802,TA-0803,TA-0812,TA-0813,TA-1070,TA-1130,TA-1150,TA-1170,TA-1190,TA-1240,TA-1250,TA-1410,TA-1552,TA-1553,TA-1554,TA-1562,TA-1563,TA-1564,TA-1610,TA-1620,TA-1630,TA-1650,TA-1640,TA-2001,TA-2002,TA-2003,TA-2004,TA-2005,TA-2010,TA-2020,TA-2030,TA-2721,TA-2722,TA-2730","SOP/PROD/HOSE/24/10/063","CHS 3 Layer DIG [Master 1]"
"TA-1541,TA-1542,TA-1571,TA-1572,TA-1581,TA-1582,TA-1600","SOP/PROD/HOSE/24/10/064","CHS 3 Layer DIG [Master 1]"
"HN-0150,HN-0160,HN-0170,HN,0240","SOP/PROD/HOSE/24/10/065","CHS 3 Layer DIG [Master 1]"
"TA-1090,TA-1732,TA-1733,TA-1741,TA-2531,TA-2580","SOP/PROD/HOSE/24/10/066","CHS 3 Layer DIG [Master 1]"
"HN-0180,HN-0190,HN-0200,HN-0210,HN-0580","SOP/PROD/HOSE/24/10/067","CHS 3 Layer DIG [Master 1]"
"","SOP/PROD/HOSE/24/10/068","CHS 3 Layer DIG [Master 1]"
"PM-1041,PM-105A,PM-1140,PM-1160,PM-1170,PM-1180,PM-1200,PM-1210,PM-1250,PM-1290,PM-1310,PM-1370,PM-1420,PM-1450,PM-1480","SOP/PROD/HOSE/24/10/069","CHS 3 Layer DIG [Master 1]"
"PM-1470,PM-1490,PM-1500","SOP/PROD/HOSE/24/10/070","CHS 3 Layer DIG [Master 1]"
"PM-1042,PM-1150,PM-1190,PM-1260,PM-1300,PM-1320,PM-1410,PM-1440,","SOP/PROD/HOSE/24/10/071","CHS 3 Layer DIG [Master 1]"
"","SOP/PROD/HOSE/SPS/24/10/01","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1080,TA0320","SOP/PROD/HOSE/SPS/24/10/01","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/02","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1080,TA0320","SOP/PROD/HOSE/SPS/24/10/02","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/03","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1080,TA0320","SOP/PROD/HOSE/SPS/24/10/03","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-TA1080-EH, VHFUNC-TA0320-EH","SOP/PROD/HOSE/SPS/24/10/03","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/04","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"VHFUNC-TA1760-EH","SOP/PROD/HOSE/SPS/24/10/04","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/05","Double Layer Digitalisasi [Parameter Setting]; Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"VHFUNC-HN0270-EH, VHFUNC-HN0280-EH, VHFUNC-HN0290-EH, VHFUNC-HN0400-EH","SOP/PROD/HOSE/SPS/24/10/05","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/06","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA2033,TA1230,TA1750","SOP/PROD/HOSE/SPS/24/10/06","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-NA2033-EH, VHFUNC-TA1230-EH, VHFUNC-TA1750-EH","SOP/PROD/HOSE/SPS/24/10/06","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/07","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA2033,TA1230,TA1750","SOP/PROD/HOSE/SPS/24/10/07","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/08","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA1661,NA1662,NA1671,NA1672,NA1821,NA1822,NA1270,NA1280,NA1360,NA1370","SOP/PROD/HOSE/SPS/24/10/08","Double Layer Digitalisasi [Parameter Setting]"
